,NAME_CAT,SMILE_CAT,NAME_ANI,SMILE_ANI,T,P,densiy (kg/m3),reference,,,,,,,,,,,,,,,,
27,"1-butyl-2,3-dimethylimidazolium ",CCCCN1C=C[N+](=C1C)C,hexafluorophosphate,F[P-](F)(F)(F)(F)F,357.94,101.325,1302.89,"Souckova, M.; Klomfar, J.; Patek, J. (2014) J. Chem. Thermodyn. 77, 31-39.",,,,,,,,,,,,,,,,
28,"1-butyl-2,3-dimethylimidazolium ",CCCCN1C=C[N+](=C1C)C,hexafluorophosphate,F[P-](F)(F)(F)(F)F,364.63,101.325,1298.26,"Souckova, M.; Klomfar, J.; Patek, J. (2014) J. Chem. Thermodyn. 77, 31-39.",,,,,,,,,,,,,,,,
29,"1-butyl-2,3-dimethylimidazolium ",CCCCN1C=C[N+](=C1C)C,tetrafluoroborate,[B-](F)(F)(F)F,288.15,101.325,1199.9,"Pal, A.; Kumar, B.; Kang, T. S. (2013) Fluid Phase Equilib. 358, 241-249.",,,,,,,,,,,,,,,,
30,"1-butyl-2,3-dimethylimidazolium ",CCCCN1C=C[N+](=C1C)C,tetrafluoroborate,[B-](F)(F)(F)F,293.15,101.325,1196.72,"Pal, A.; Kumar, B.; Kang, T. S. (2013) Fluid Phase Equilib. 358, 241-249.",,,,,,,,,,,,,,,,
31,"1-butyl-2,3-dimethylimidazolium ",CCCCN1C=C[N+](=C1C)C,tetrafluoroborate,[B-](F)(F)(F)F,298.15,101.325,1193.34,"Pal, A.; Kumar, B.; Kang, T. S. (2013) Fluid Phase Equilib. 358, 241-249.",,,,,,,,,,,,,,,,
32,"1-butyl-2,3-dimethylimidazolium ",CCCCN1C=C[N+](=C1C)C,tetrafluoroborate,[B-](F)(F)(F)F,303.15,101.325,1189.92,"Pal, A.; Kumar, B.; Kang, T. S. (2013) Fluid Phase Equilib. 358, 241-249.",,,,,,,,,,,,,,,,
33,"1-butyl-2,3-dimethylimidazolium ",CCCCN1C=C[N+](=C1C)C,tetrafluoroborate,[B-](F)(F)(F)F,308.15,101.325,1186.52,"Pal, A.; Kumar, B.; Kang, T. S. (2013) Fluid Phase Equilib. 358, 241-249.",,,,,,,,,,,,,,,,
34,"1-butyl-2,3-dimethylimidazolium ",CCCCN1C=C[N+](=C1C)C,tetrafluoroborate,[B-](F)(F)(F)F,313.15,101.325,1183.17,"Pal, A.; Kumar, B.; Kang, T. S. (2013) Fluid Phase Equilib. 358, 241-249.",,,,,,,,,,,,,,,,
35,"1-butyl-2,3-dimethylimidazolium ",CCCCN1C=C[N+](=C1C)C,tetrafluoroborate,[B-](F)(F)(F)F,318.15,101.325,1179.54,"Pal, A.; Kumar, B.; Kang, T. S. (2013) Fluid Phase Equilib. 358, 241-249.",,,,,,,,,,,,,,,,
36,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,acetate,CC(=O)[O-],283.15,101.325,1062.2,"Almeida, H. F. D.; Passos, H.; Lopes-da-Silva, J. A.; Fernandes, A. M.; Freire, M. G.; Coutinho, J. A. P. (2012) J. Chem. Eng. Data 57(11), 3005-3013.",,,,,,,,,,,,,,,,
37,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,acetate,CC(=O)[O-],288.15,101.325,1058.9,"Almeida, H. F. D.; Passos, H.; Lopes-da-Silva, J. A.; Fernandes, A. M.; Freire, M. G.; Coutinho, J. A. P. (2012) J. Chem. Eng. Data 57(11), 3005-3013.",,,,,,,,,,,,,,,,
38,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,acetate,CC(=O)[O-],293.15,101.325,1055.5,"Almeida, H. F. D.; Passos, H.; Lopes-da-Silva, J. A.; Fernandes, A. M.; Freire, M. G.; Coutinho, J. A. P. (2012) J. Chem. Eng. Data 57(11), 3005-3013.",,,,,,,,,,,,,,,,
39,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,acetate,CC(=O)[O-],298.15,101.325,1052.3,"Almeida, H. F. D.; Passos, H.; Lopes-da-Silva, J. A.; Fernandes, A. M.; Freire, M. G.; Coutinho, J. A. P. (2012) J. Chem. Eng. Data 57(11), 3005-3013.",,,,,,,,,,,,,,,,
40,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,acetate,CC(=O)[O-],303.15,101.325,1049.2,"Almeida, H. F. D.; Passos, H.; Lopes-da-Silva, J. A.; Fernandes, A. M.; Freire, M. G.; Coutinho, J. A. P. (2012) J. Chem. Eng. Data 57(11), 3005-3013.",,,,,,,,,,,,,,,,
41,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,acetate,CC(=O)[O-],308.15,101.325,1046.1,"Almeida, H. F. D.; Passos, H.; Lopes-da-Silva, J. A.; Fernandes, A. M.; Freire, M. G.; Coutinho, J. A. P. (2012) J. Chem. Eng. Data 57(11), 3005-3013.",,,,,,,,,,,,,,,,
42,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,acetate,CC(=O)[O-],313.15,101.325,1043,"Almeida, H. F. D.; Passos, H.; Lopes-da-Silva, J. A.; Fernandes, A. M.; Freire, M. G.; Coutinho, J. A. P. (2012) J. Chem. Eng. Data 57(11), 3005-3013.",,,,,,,,,,,,,,,,
43,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,acetate,CC(=O)[O-],318.15,101.325,1040,"Almeida, H. F. D.; Passos, H.; Lopes-da-Silva, J. A.; Fernandes, A. M.; Freire, M. G.; Coutinho, J. A. P. (2012) J. Chem. Eng. Data 57(11), 3005-3013.",,,,,,,,,,,,,,,,
44,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,acetate,CC(=O)[O-],323.15,101.325,1037,"Almeida, H. F. D.; Passos, H.; Lopes-da-Silva, J. A.; Fernandes, A. M.; Freire, M. G.; Coutinho, J. A. P. (2012) J. Chem. Eng. Data 57(11), 3005-3013.",,,,,,,,,,,,,,,,
45,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,acetate,CC(=O)[O-],328.15,101.325,1034,"Almeida, H. F. D.; Passos, H.; Lopes-da-Silva, J. A.; Fernandes, A. M.; Freire, M. G.; Coutinho, J. A. P. (2012) J. Chem. Eng. Data 57(11), 3005-3013.",,,,,,,,,,,,,,,,
46,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,acetate,CC(=O)[O-],333.15,101.325,1031,"Almeida, H. F. D.; Passos, H.; Lopes-da-Silva, J. A.; Fernandes, A. M.; Freire, M. G.; Coutinho, J. A. P. (2012) J. Chem. Eng. Data 57(11), 3005-3013.",,,,,,,,,,,,,,,,
47,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,acetate,CC(=O)[O-],338.15,101.325,1028,"Almeida, H. F. D.; Passos, H.; Lopes-da-Silva, J. A.; Fernandes, A. M.; Freire, M. G.; Coutinho, J. A. P. (2012) J. Chem. Eng. Data 57(11), 3005-3013.",,,,,,,,,,,,,,,,
48,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,acetate,CC(=O)[O-],343.15,101.325,1025,"Almeida, H. F. D.; Passos, H.; Lopes-da-Silva, J. A.; Fernandes, A. M.; Freire, M. G.; Coutinho, J. A. P. (2012) J. Chem. Eng. Data 57(11), 3005-3013.",,,,,,,,,,,,,,,,
49,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,acetate,CC(=O)[O-],348.15,101.325,1022.1,"Almeida, H. F. D.; Passos, H.; Lopes-da-Silva, J. A.; Fernandes, A. M.; Freire, M. G.; Coutinho, J. A. P. (2012) J. Chem. Eng. Data 57(11), 3005-3013.",,,,,,,,,,,,,,,,
50,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,acetate,CC(=O)[O-],353.15,101.325,1019.1,"Almeida, H. F. D.; Passos, H.; Lopes-da-Silva, J. A.; Fernandes, A. M.; Freire, M. G.; Coutinho, J. A. P. (2012) J. Chem. Eng. Data 57(11), 3005-3013.",,,,,,,,,,,,,,,,
51,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,acetate,CC(=O)[O-],358.15,101.325,1016.2,"Almeida, H. F. D.; Passos, H.; Lopes-da-Silva, J. A.; Fernandes, A. M.; Freire, M. G.; Coutinho, J. A. P. (2012) J. Chem. Eng. Data 57(11), 3005-3013.",,,,,,,,,,,,,,,,
52,1-butyl-3-methylimidazolium ,CCCCN1C=C[N+](=C1)C,acetate,CC(=O)[O-],363.15,101.325,1013.3,"Almeida, H. F. D.; Passos, H.; Lopes-da-Silva, J. A.; Fernandes, A. M.; Freire, M. G.; Coutinho, J. A. P. (2012) J. Chem. Eng. Data 57(11), 3005-3013.",,,,,,,,,,,,,,,,
